text,label
"There was no Knicks parade 53 years ago, nor was there one in 1970 for their first championship. The city was in too much turmoil so they just had a ceremony with Mayor Lindsay at Gracie Mansion",analysis
James Dolan is a scumbag and always has been,hot_take
Braindead take lmao,hot_take
Mamdani gave what people are calling the best sports celebration speech in NYC history. Athletes aren't great speakers. Let's let the professionals talk.,hot_take
WE DAWGS,reaction
Goat,reaction
Bring back the guillotines,reaction
"He can't really space the floor. Too few attempts and a low 30's shooting %. Great rim protector and tenacious rebounder are his reputation, not what he really is since last season.",analysis
"We desperately need a 4 that can play along Wemby to do some of the dirty work against other bigs. Champagne is great, but Wemby literally played 0 minutes with anyone taller than 6'8 against yall and the Knicks.",analysis
Spurs have no big man depth we had two centers in the rotation and a bunch of 3s playing up to the 4 spot. And one of those centers took 1 3 all year.,analysis
"Spurs should trade for Giannis, would solve like 90% of their issues.",hot_take
"No exaggeration, he has to be one of the biggest wastes of athletic talent of all time.",hot_take
Markannan is the best fit in the league,hot_take
"I watched him live in PHX, I kid you not, I've never seen a player less engaged in a game. It's even more egregious in person, it was like he was just standing there.",hot_take
Ok we'll take Jokic,reaction
Keep Naz out of this,reaction
giannnis get ready to learn to speak texan,reaction
He's currently 18th all time in playoff PPG over Hakeem despite averaging 8 points his first playoff run in Dallas.,analysis
"27.6 ppg with the last Dallas year puts him at 8th place, 29.4 ppg as a Knick puts him at 4th (Jordan, Luka, AI).",analysis
"Really surprising stat, especially considering that Kyrie came into the league at 19 compared to 22 for Brunson. Kyrie has played in 96 playoff games compared to 86 for Brunson. Kyrie has made the playoffs in 7 of his 14 seasons compared to 6 out of 8 for Brunson.",analysis
"86 playoff games for Brunson vs 84 for Giannis, but Brunson was coming off the bench for 7 of those.",analysis
"The gap (2,534pts) between LeBron and 2nd place (Jordan) is more than the gap between Jordan and 21st place, Wilt Chamberlain (2,380pts).",analysis
"We shouldn't compare total points for modern guys to old players, the current playoffs weren't codified until 2003 when they made the first round best of 7. Just saying when comparing across eras we should use PPG instead of total points.",analysis
Tbf these kinda stats are always irrelevant to me unless you take out the worst postseason for every player. I always hate stats where it's well if we take out the bad stuff from player X they're ranked so much higher! Yeah no shit.,analysis
"Brunson is better than Kyrie ever was. If you put Kyrie at his peak on this Knicks team instead of Brunson, they aren't winning. Kyrie is a great number 2. Not a number 1 option or a captain.",hot_take
"Well Brunson is going to be a hall of famer. Multiple all star and all nba awards, and a champion. He's definitely making it even if he retired tomorrow.",hot_take
"thats pretty nuts, i wonder were he'll end up alltime",reaction
"JB is a master of physics, time, and space.",reaction
hell of a list,reaction
30-for-30. Make it happen,reaction
$55M per year for the next 4 years really is that bad. He's going to 31 and 32 years old making $58M and $62M per year. They gave him the 4th highest amount of guaranteed money in the league.,analysis
MPJ has one year at $40m and Randle has 2 years left at $33-35M each. Neither one is a bad contract like Fox's $220M,analysis
4 years $228 million left on his contract...that's a lot for a player coming off the bench,analysis
"Manu led the entire NBA in playoff OWS and VORP in 2005. Also, who do you think had a better season looking at these stats?",analysis
We had record breaking amount of turnovers with fox gone against yall when he was hurt.,analysis
"How is this line of reasoning not a blatant sunk cost fallacy? Because in a sunk cost fallacy a key component is that the cost is actually sunk, to move off of him you would need to convince other teams he's worth taking on",analysis
Fuck Rich Paul and his trade value. Y'all's window is now and his value is never gonna be super high with that contract,hot_take
harper is the future. best rookie ive ever seen,hot_take
That's a no from me dog. Fox should be benched until he earns it.,hot_take
Harping deez nutz,reaction
"You're a Wizard, De'Aaron.",reaction
Sorry to hear that.,reaction
Vessel to the bench,reaction
They gave Beal $250m 4 years ago; that would be $313m if we gave it to him today. Trae for $100m less on a deal that is below the max he was eligible for is not the same thing.,analysis
Declined his $49 million to get around $53 million a year for 4 years,analysis
Spotrac has an estimate already. Looks like $47.3/51.1/54.9/58.7 with the last season as a Player Option.,analysis
"In the past 10 years, he's played 60+ games twice, and one of those times was the bubble year where there was a 4 month break in between to rest and get healthy.",analysis
Holy overpay,hot_take
He can't play D. You can't win with him,hot_take
Wizards are expert at offloading contracts they should not have signed in the first place,hot_take
Trae has become underrated,hot_take
They're a filler organization that exists just to make bad decisions to everyone else's benefit,hot_take
PAID,reaction
Paed,reaction
Oof,reaction
Oh no. Wayyyyyy too much.,reaction
Holy that is alot,reaction
They will go to a nice farm upstate.,reaction
Thanasis becomes Milwaukee's new franchise player.,reaction
Get ready to learn Chinese buddy,reaction
"Believe it or not, straight to jail",reaction
Public execution in the middle of Milwaukee if I had to guess,reaction
They get toss out the arena like jazz from fresh prince,reaction
Trading Ray Allen for the Gary Payton half season rental. The Bucks gave up a first too!,analysis
Norm Powell and the pick that became OG for 23 games of Greivis Vazquez.,analysis
Sam Bowie over Michael Jordan,analysis
Drafting LaMarcus Aldridge and then trading him for Tyrus Thomas on draft night,analysis
Trading 2 picks to sign a 38 year old Hakeem Olajuwon to a 3 year/$18 million contract. It took a really promising young playoff team that had just taken a Finals team to 7 games and completely maxed out their cap space.,analysis
Biggest one in recent memory is passing on Luka. Second biggest one is trading Haliburton. Third biggest one is assembling the Sacramento Bulls.,analysis
Four hall of famers in the top 5 picks and the Pistons come from out of nowhere to take a foreign developmental project,analysis
Carmelo could've turned the Pistons into a dynasty,hot_take
Damn the Kings are never gonna be good,hot_take
I'm convinced the Suns would have two chips right now if they took Luka,hot_take
Lakers are still feeling the fallout from the Westbrook trade 5 years later,hot_take
Yes,reaction
Likewise,reaction
Hahahahahah,reaction
How much time you have?,reaction
Mavs fans need not answer,reaction
Giannis is also better than KD. Giannis is younger than KD was and at an MVP level KD wasn't at.,analysis
"Brown will be 30 this season. Peak NBA age is 27. His efficiency is significantly off his peak, which occurred around ages 25-27.",analysis
Jaylen Brown has played less than 60 games in a season more than Giannis has.,analysis
"Basketball reference has it Brown at 337 games, Giannis at 306.",analysis
"He also makes 50+ million per year, trading him at his maximum value isn't a terrible idea. But Giannis is only 2 years older than Brown and a far far better player.",analysis
"Brown is currently under contract for 3 more years, giannis's contract goes for one more year and then is due to be paid like 70 mill per year, meaning after this year its about a 10-15 mill difference between Giannis and Jaylen hurting your salary significantly more",analysis
Pairing Giannis with Tatum would be absolutely terrifying,hot_take
"Unless Giannis is such a huge prick that it kills the team, there's no way this doesn't pan out well for Boston. You're replacing a top 20 player for a top 10 player",hot_take
I think this gets done today.,hot_take
Fake MVP candidate. He was firmly down the board before injuries knocked a few guys above him out.,hot_take
"Giannis is still very good, but he is definitely past his prime",hot_take
It was always Tatum.,hot_take
From MVP votes and being the best player of the team to trades. Life goes fast in the NBA.,reaction
Wild. Can't wait for this Giannis drama to finally come to an end,reaction
"It's been real, Jays of Our Lives. Thanks for the 10 years and especially 2024.",reaction
I'm so sick of this already lol,reaction
Oh boy. I will miss JB so much if this happens. Can't believe it's been a decade,reaction
"Ugh please no, I'd rather keep the Jays and build around them.",reaction
"The Lakers only have 1 future second round pick in total, this year included.",analysis
"Just to illustrate how much OP lied, the Kings have 2 second round picks in this year's draft class but he didn't include them. So technically speaking, the Kings have 5 future 2nds.",analysis
Every 2nd round pick in the NBA is the equivalent of a 7th round pick in the NFL. 1-2% chance of being anything at all in the NBA.,analysis
Only about 22% of active players came from the second round.,analysis
He averaged 17 ppg and shot 42% from 3 while winning the Jerry West award.,analysis
Kings are probably the next franchise to get forced to be sold and relocated.,hot_take
"McNair doesn't get enough hate, he deserves a lot more for his horrific stint",hot_take
Should be black listed from the NBA ngl,hot_take
Chris Duarte jumpscare,reaction
Sheesh that is horrendous lol,reaction
Why he say fuck me for,reaction
STOP,reaction
"Aye man, leave us alone damn",reaction
"The Grizzlies sent 16, a 2028 first, and two second-rounders to the Blazers last draft for the 11th pick. Factor in a better draft this year and no one really wanting to help the Thunder get better, it's about the right price.",analysis
Mavs don't own many of their own draft picks in the coming years. Multiple cost controllable rookies around Flagg's timeline would be the smart move.,analysis
Trading with Presti will always work out better for Presti.,analysis
Makes sense for both teams — Mavs get multiple rookies that fit with Flagg's timeline and Thunder consolidates picks and avoids roster jam.,analysis
They can't keep getting away with this,hot_take
I guarantee you whoever Presti drafts is gonna end up being a stud.,hot_take
I trust Masai but trading with the Thunder makes me sick,hot_take
stop helping the thunder,reaction
"Fuck, they must really like someone",reaction
It's a trap!,reaction
The luxury tax line for this season is just over $200M total salary. Teams pay an additional $1.50 in luxury tax payments per additional dollar of team salary over that line. This is why shedding Aaron Wiggins's ~$9M salary can end up saving Clay Bennett almost $60M total.,analysis
Wiggins is owed $17.2m over the next 2 seasons plus a team option and has almost completely fallen out of the rotation. It saves us $61m in tax savings by keeping us out of the 2nd apron.,analysis
"After declining Kenrich's $7m team option and assuming they bring him back on a vet min $3m, they'll save about another $20m to bring their tax down to ~$132m.",analysis
Just Shai and Chet are 100 mil a year,analysis
The NBA really should just have a hard salary cap. The idea that a $15M/yr contract yields $60M in savings is really dumb.,hot_take
"Dort's next (Lakers, I predict)",hot_take
"If you're scared of Dort, you're not a championship contender",hot_take
WOO LETS GO!! THIS IS WHAT THE NBA IS ALL ABOUT,reaction
The great OKC roster shed of 2026,reaction
I'm not happy,reaction
Please extend IHart,reaction
I think this is the maximum salary so that Atlanta can use the full MLE and still stay under the tax.,analysis
He's about to be 35 and has never made an all star team. This contract is fine.,analysis
"He gave the 16-3 Knicks 2 of their losses, both being game winners",analysis
His potential suitors are playoff teams and none of them have cap space.,analysis
21M with a trade kicker makes this a trade asset more than anything. Hawks keeping cap flexibility while they shop for a big,analysis
302M career earnings after that contract extension btw,analysis
Healthy timelord would make us a contender,hot_take
CJ probably has more value than Lillard at this point in time,hot_take
He is the Michael Jordan of Bradley Beals,hot_take
The Hawks vs the Knicks were the real NBA finals.,hot_take
No back to back for the Knicks,hot_take
Someone is going to give this guy WAY too much money next year,hot_take
Zion williamson is on a max with 0 playoff games played,hot_take
Read that name and my fight or flight kicked in,reaction
NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,reaction
Knicks fucked,reaction
Jennifer in shambles,reaction
Boogeyman gets paid,reaction
Bro got paid for that playoff run,reaction
Pimp cane included as a signing bonus.,reaction
"Jokic dominated that series averaging 30/14/7 with 2 stocks per game, shooting 58/42/83, and had a 30/20/10 game",analysis
SGA's fourth quarter in Game 4 is pretty fun + JDub getting a 40 piece in Game 5,analysis
"One of the closest overall margins in the history of the finals so 4-1 is kind of moot. Every game saw an epic comeback, including the largest comeback ever in finals history",analysis
Pacers vs Thunder is easily #1.,hot_take
2024 was somehow even worse,hot_take
Celtics Dallas was not interesting,hot_take
"5, 6 and 7 were all so boring",hot_take
Bucks Suns game 5 is the finest game of the last decade,hot_take
Celtics in last is pure hater,hot_take
I literally don't remember anything from 2023. All I could tell you is that the Nuggets won and the Heat lost.,reaction
I literally don't remember who played in 2023,reaction
Every game of the 2026 Finals could be its own sports movie.,reaction
"Ewing's agent was David Falk who was also Jordan's. With Falk asking, the implicit threat was not only will you not play for the Knicks, all the other teams will be told not to sign you",analysis
Ewing was notorious for refusing to sign autographs. He never understood why people would want an autograph and so he decided he wasn't going to do it.,analysis
Oakley holds a lot of hate in his heart.,hot_take
Oakley is just an emotionally underdeveloped sadistic bully who sadly never got smacked around.,hot_take
Brunson is a better Knick than Patrick.,hot_take
Starting to think Oak is the problem,hot_take
"Oakley is weird af. James Dolan was the one banning him from MSG, but he keeps targeting Ewing.",hot_take
Took a case???,reaction
$600k for grapes is wild,reaction
"Love you Oak, give it a rest",reaction
NBA might genuinely have the worst fans imaginable. This shit is soccer tier,hot_take
San Antonio is actually fairly hood and then seeing what knick's fans did to theirs? This was bound to happen.,hot_take
Still don't understand why people are attacking people over a pointless basketball game,hot_take
"it shouldn't be this bad, the fuck is wrong with people",reaction
What the hell is wrong with people,reaction
FATHER/SON?!,reaction
Fuck man I hope these guys are ok,reaction
selling high on an all nba first team tier guy just isnt possible without costing the gm their job thanks to fan backlash,analysis
2024 was a weak draft class so even getting the #1 pick then doesn't move the needle,analysis
"If you can time it right, selling high on your top guy would be almost always the smartest strategic choice. But the fan reaction would be terrible, and it's hard to actually get the full value of an MVP caliber player in their prime.",analysis
The Lillard trade was such a mistake. They effectively handed Boston their third or second best player and a ring.,hot_take
He woulda been a Knick 100% guaranteed,hot_take
You can't just sell a top 40 all time guy in his prime until you've exhausted every chance.,hot_take
Keeping Giannis this year was horrible management,hot_take
If they traded Giannis I would have never forgiven them.,reaction
Anthony Davis,reaction
We would've demanded the head of John Horst,reaction
"I didn't have no relationship with nobody on the Warriors. Nobody liked Golden State. It felt like an underdog to me because I'm looking at the totality of the franchise, not what happened these last 5 years",hot_take
That's the price of being great - everyone wants a piece of you when you win and turns on you when you leave,hot_take
Thanasis is actually really entertaining as a G-Leaguer. Tall. Athletic. Generally has a clue what he's doing. And then he takes a shot.,analysis
"When Suns signed Zoran Dragic to appease Goran, they shipped him to Miami with his brother.",analysis
"Castle shot 41% from deep in the second half of the season, and shot 35% in the playoffs. So as long as he's around league average that's fine.",analysis
"Fox was clearly hurt, he never went to the paint and never really used his speed. People are acting like the only shot of getting off the contract is attaching 4 first rounders to a tanking team.",analysis
Arenas -> Wall -> Beal -> Young. Wiz gonna Wiz,reaction
"This restarts the cycle, the planet is healing",reaction
Trading Ray Allen in his prime was the one that set the Bucks back by a decade.,analysis
"Presti has showed me the value of second round picks, the Kings are screwed",hot_take
